,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
assets,0,0.146768726,0,0,0,0,0,0,0,0.141374224,0,0,0,0,0,0,0,0.170084355,0.170084355,0
bitcoin,0,0,0.257889752,0.147673078,0.136765031,0,0.242166928,0,0.133954237,0,0,0,0,0,0,0.139147734,0,0,0,0
chars,0.055315016,0.060272539,0.061442924,0.070367013,0.06516927,0.059377793,0.057696919,0.056635365,0.063829912,0.058057214,0.06061936,0.056417689,0.056306069,0.056573727,0.063165233,0.066304641,0.060845971,0.069847413,0.069847413,0.055280052
crypto,0,0,0,0,0.146810918,0.133764093,0,0,0,0,0,0,0.126844227,0.127447198,0,0,0,0,0,0.249065706
cryptocurrency,0,0,0.107029724,0.122574928,0,0,0.100504418,0.098655258,0.111187707,0,0,0,0,0,0,0.11549853,0.105989869,0.121669817,0.121669817,0
digital,0.116084772,0,0,0,0,0.124610966,0,0,0,0.121839583,0,0,0,0,0,0,0.127692102,0.146582639,0.146582639,0
ethereum,0,0,0.326658613,0.18705157,0.173234783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getty,0,0,0.163329307,0,0,0,0,0,0,0,0.161140084,0,0,0,0.167907595,0,0,0,0,0
major,0,0,0,0.171349624,0.158692681,0.144589945,0.140496875,0,0,0,0,0,0,0,0,0,0,0,0,0
market,0,0,0,0,0,0.133764093,0,0.127586054,0,0.130789142,0.136561049,0,0,0,0,0,0,0,0,0.124532853
nfts,0,0,0,0,0,0,0,0,0,0.171031336,0,0,0.165872619,0,0,0,0,0,0,0
payments,0,0,0,0.207294898,0,0,0,0,0,0,0,0,0,0,0,0,0.179246762,0,0,0
prices,0,0,0,0,0,0,0.153371571,0,0.169674464,0,0,0,0,0,0,0.176252857,0,0,0,0
ripple,0.134696739,0,0,0.171349624,0,0,0,0,0,0,0.147613265,0,0,0,0,0,0,0,0,0.134611598
token,0.294079857,0,0,0,0,0.157839716,0,0,0,0,0.161140084,0,0,0,0,0,0,0,0,0
xrp,0.326095443,0.236880828,0.120740317,0.138276873,0.128062887,0,0,0,0,0,0.238243892,0,0,0,0,0,0,0,0,0.217259546